,City,Country,Temperature,Humidity %,Cloudiness %,Windspeed(mph),Longitude,Latitude
545,mahibadhoo,MV,82.24,76.0,94.0,6.64,72.97,3.78
546,coihaique,CL,46.4,49.0,75.0,8.05,-72.07,-45.58
549,te anau,NZ,36.09,88.0,50.0,1.52,167.72,-45.42
550,geraldton,AU,60.8,82.0,90.0,6.93,114.6,-28.77
551,vestmannaeyjar,IS,42.8,75.0,75.0,11.41,-20.27,63.44
553,mossendjo,CG,83.84,52.0,94.0,5.26,12.73,-2.95
558,macklin,CA,45.1,63.0,0.0,14.83,-109.93,52.33
559,mount gambier,AU,44.6,93.0,88.0,9.17,140.77,-37.83
560,cherskiy,RU,38.86,75.0,100.0,10.02,161.3,68.75
563,praia da vitoria,PT,71.96,88.0,75.0,16.44,-27.07,38.73
565,bulgan,MN,32.56,89.0,100.0,4.34,103.53,48.81
569,huarmey,PE,68.92,65.0,36.0,10.74,-78.15,-10.07
571,muroto,JP,70.97,71.0,100.0,3.22,134.15,33.28
575,borogontsy,RU,33.22,92.0,100.0,4.23,131.17,62.67
577,boguchany,RU,32.4,91.0,100.0,4.16,97.45,58.38
578,bar harbor,US,65.86,94.0,90.0,33.33,-68.2,44.39
579,bogovarovo,RU,50.32,85.0,100.0,5.19,47.02,58.98
586,aksarka,RU,47.03,85.0,100.0,6.53,67.8,66.56
588,tessalit,ML,104.79,7.0,0.0,14.79,1.01,20.2
590,naze,JP,75.2,88.0,75.0,11.41,129.48,28.37
593,shingu,JP,66.25,82.0,100.0,2.8,135.98,33.73
595,manjacaze,MZ,68.59,86.0,100.0,8.86,33.88,-24.71
597,adrar,MR,102.51,10.0,0.0,14.56,-10.07,20.5
598,bandarbeyla,SO,79.57,75.0,34.0,24.94,50.81,9.49
603,susaki,JP,64.42,81.0,18.0,4.23,133.28,33.37
604,vestmanna,FO,48.2,100.0,85.0,27.51,-7.17,62.16
607,tupik,RU,34.39,88.0,38.0,1.83,119.93,54.43
608,port macquarie,AU,52.0,97.0,45.0,8.93,152.92,-31.43
610,fallon,US,64.2,27.0,1.0,4.85,-118.78,39.47
614,maihar,IN,77.92,46.0,73.0,2.84,80.75,24.27
615,dingzhou,CN,60.8,93.0,90.0,2.24,115.0,38.51
619,bambous virieux,MU,72.27,83.0,75.0,4.7,57.76,-20.34
621,dikson,RU,35.35,86.0,100.0,18.32,80.55,73.51
623,madimba,TZ,77.0,73.0,20.0,5.82,40.33,-10.4
624,ilulissat,GL,28.4,50.0,20.0,6.93,-51.1,69.22
625,suslovo,RU,35.64,83.0,100.0,7.56,88.12,56.22
626,petlad,IN,86.0,70.0,20.0,3.36,72.8,22.47
627,kutum,SD,88.61,24.0,88.0,0.54,24.67,14.2
630,canete,CL,52.11,48.0,31.0,6.44,-73.4,-37.8
634,lagoa,PT,69.64,81.0,100.0,15.21,-27.98,39.05
638,nanortalik,GL,34.81,81.0,100.0,6.4,-45.24,60.14
639,flinders,AU,60.42,82.0,99.0,1.99,150.86,-34.58
640,beloha,MG,67.62,79.0,47.0,12.26,45.05,-25.17
643,paracuru,BR,82.0,68.0,25.0,25.01,-39.03,-3.41
649,margate,GB,62.37,79.0,89.0,5.99,1.39,51.38
650,boyuibe,BO,98.6,19.0,0.0,6.93,-63.28,-20.42
651,matara,LK,77.88,86.0,98.0,9.24,80.54,5.95
654,lethem,GY,94.35,41.0,78.0,8.34,-59.8,3.38
655,iracoubo,GF,85.23,69.0,11.0,11.95,-53.2,5.48
657,sola,VU,80.6,83.0,90.0,5.82,167.55,-13.88
659,guerrero negro,MX,86.59,36.0,0.0,1.77,-114.06,27.98
664,tocopilla,CL,68.49,50.0,23.0,9.19,-70.2,-22.09
665,ancud,CL,48.11,66.0,75.0,6.93,-73.82,-41.87
674,glendive,US,53.8,34.0,1.0,19.46,-104.71,47.11
676,nome,US,40.8,70.0,90.0,14.99,-165.41,64.5
677,wasilla,US,49.46,57.0,75.0,19.46,-149.44,61.58
680,belaya gora,RU,32.49,85.0,52.0,10.11,146.42,68.53
687,yangjiang,CN,78.76,88.0,100.0,5.59,111.97,21.85
688,bati,ET,71.74,62.0,100.0,5.21,40.02,11.18
690,durango,MX,60.12,49.0,0.0,2.89,-104.83,24.83
692,cockburn town,TC,87.8,70.0,40.0,13.87,-71.14,21.46
693,sao miguel do araguaia,BR,104.61,13.0,19.0,11.39,-50.16,-13.28
700,tipp city,US,62.28,48.0,75.0,23.04,-84.17,39.96
701,maceio,BR,84.2,54.0,40.0,13.87,-35.74,-9.67
702,auki,SB,77.47,85.0,64.0,4.83,160.7,-8.77
703,voh,NC,63.25,80.0,19.0,5.39,164.7,-20.97
704,griffith,US,60.53,63.0,90.0,19.46,-87.42,41.53
707,pevek,RU,35.78,84.0,0.0,13.85,170.31,69.7
710,progreso,MX,81.32,88.0,75.0,15.68,-89.67,21.28
714,nicholasville,US,62.6,59.0,1.0,19.46,-84.57,37.88
716,kavieng,PG,81.45,75.0,98.0,3.91,150.8,-2.57
720,rauma,FI,53.6,81.0,19.0,2.24,21.51,61.13
722,shimanovsk,RU,42.75,80.0,46.0,5.48,127.7,52.0
725,kudahuvadhoo,MV,83.35,73.0,100.0,6.38,72.89,2.67
726,martinopolis,BR,102.2,14.0,0.0,12.75,-51.17,-22.15
730,mayumba,GA,77.32,73.0,100.0,8.14,10.66,-3.43
733,fortuna,US,57.72,100.0,90.0,3.36,-124.16,40.6
738,kiunga,PG,71.62,98.0,88.0,1.83,141.29,-6.12
739,skagen,DK,60.28,82.0,95.0,10.0,10.58,57.72
747,date,JP,60.22,78.0,100.0,1.59,140.87,42.47
753,houma,US,75.2,41.0,1.0,1.97,-90.72,29.6
754,rodino,RU,39.61,68.0,57.0,4.43,80.25,52.5
755,darnah,LY,74.57,68.0,0.0,17.47,22.64,32.77
757,talnakh,RU,28.4,92.0,40.0,4.47,88.4,69.49
758,sorata,BO,53.33,63.0,40.0,7.49,-68.63,-15.77
762,port-gentil,GA,82.4,69.0,40.0,18.34,8.78,-0.72
764,conakry,GN,82.62,80.0,71.0,11.23,-13.68,9.54
765,antigonish,CA,74.25,90.0,36.0,8.01,-62.0,45.62
767,ternate,ID,81.23,75.0,78.0,4.74,127.4,0.8
771,manaus,BR,91.4,59.0,40.0,5.82,-60.02,-3.1
773,mahon,ES,73.4,60.0,20.0,8.05,4.27,39.89
777,safranbolu,TR,58.55,78.0,5.0,3.98,32.69,41.25
780,ayaviri,PE,52.84,47.0,86.0,2.35,-70.59,-14.89
782,ust-tsilma,RU,47.64,86.0,11.0,4.52,52.15,65.44
784,zhezkazgan,KZ,50.0,31.0,100.0,11.18,67.71,47.8
785,wajima,JP,67.95,71.0,100.0,6.02,136.9,37.4
787,hasaki,JP,63.84,93.0,75.0,5.82,140.83,35.73
788,beinamar,TD,79.29,82.0,77.0,3.94,15.38,8.67
792,aktash,RU,20.59,96.0,16.0,2.62,87.73,50.3
796,wanning,CN,80.69,85.0,33.0,3.18,110.4,18.8
798,nampula,MZ,84.09,45.0,0.0,12.75,39.27,-15.12
801,saint george,US,69.46,15.0,1.0,2.01,-113.58,37.1
808,pangnirtung,CA,35.6,43.0,5.0,2.24,-65.71,66.15
810,synya,RU,46.27,93.0,0.0,5.77,58.04,65.37
813,les cayes,HT,85.12,73.0,66.0,11.21,-73.75,18.2
817,kineta,GR,75.65,31.0,0.0,5.88,23.22,37.97
818,souillac,MU,71.6,83.0,75.0,4.7,57.52,-20.52
819,camacha,PT,73.4,64.0,40.0,13.87,-16.33,33.08
822,skjervoy,NO,48.2,87.0,75.0,2.24,20.97,70.03
823,kokopo,PG,76.3,85.0,72.0,6.78,152.26,-4.35
825,inverell,AU,45.16,97.0,32.0,5.5,151.12,-29.78
829,hovd,MN,38.66,71.0,36.0,2.89,91.64,48.01
836,palana,RU,40.3,96.0,99.0,11.95,159.97,59.12
839,bathsheba,BB,89.6,70.0,75.0,19.46,-59.52,13.22
847,bac,RS,63.28,59.0,75.0,14.99,19.24,45.39
853,ciomagesti,RO,58.19,58.0,100.0,12.97,24.45,44.83
854,sampit,ID,76.08,91.0,97.0,1.63,112.95,-2.53
857,fergus falls,US,55.06,58.0,1.0,20.8,-96.08,46.28
